Date,Name,PreOrg,cowgirl,doggy,kinky,missionary,reversecowgirl,standing,HerRanking,MyRanking,OurRanking
2009-12-22 00:00:00,J1,0,False,False,False,True,False,False,3,3,3
2009-12-28 00:00:00,J1,2,False,True,False,True,False,False,10,10,10
2009-12-29 00:00:00,J1,3,False,False,False,False,False,False,10,10,10
2009-12-30 00:00:00,J1,0,False,False,False,True,False,False,2,4,3
2009-12-31 00:00:00,J1,2,False,True,False,True,False,False,10,7,8.5
2010-01-05 00:00:00,J1,1,False,False,False,True,False,False,8,9,8.5
2010-01-06 00:00:00,J1,0,False,False,False,True,False,False,3,4,3.5
2010-01-06 12:00:00,J1,1,False,True,False,True,False,False,10,3,6.5
2010-01-09 00:00:00,J1,1,False,False,False,True,False,False,9,6,7.5
2010-01-10 00:00:00,J1,1,False,False,False,True,False,False,9,7,8
2010-01-10 12:00:00,J1,2,False,False,False,True,False,False,10,10,10
2010-01-11 00:00:00,J1,1,False,False,False,True,False,True,10,5,7.5
2010-01-11 12:00:00,J1,3,False,False,False,True,False,False,10,10,10
2010-01-12 00:00:00,J1,1,False,False,False,True,False,False,10,8,9
2010-01-15 00:00:00,J1,1,False,False,False,False,False,False,7,5,6
2010-01-16 00:00:00,J1,2,False,False,False,True,False,False,10,10,10
2010-01-22 00:00:00,J1,2,True,True,False,True,False,False,10,10,10
2010-01-23 00:00:00,J1,0,False,False,False,True,True,False,0,9,4.5
2010-01-23 12:00:00,J1,0,False,False,False,False,False,False,1,0,0.5
2010-01-25 00:00:00,J1,1,False,False,False,True,False,False,9,6,7.5
2010-01-26 00:00:00,J1,1,False,False,False,True,False,False,9,8,8.5
2010-01-26 12:00:00,J1,0,False,True,False,True,False,False,4,0,2
2010-01-27 00:00:00,J1,0,False,False,False,False,False,False,0,3,1.5
2010-01-27 12:00:00,J1,2,False,False,False,True,False,False,10,10,10
2010-01-31 00:00:00,J1,1,False,False,False,False,False,False,7,9,8
2010-02-02 00:00:00,J1,1,False,False,False,True,False,False,10,8,9
2010-02-03 00:00:00,J1,0,False,False,False,True,False,False,3,2,2.5
2010-02-05 00:00:00,J1,2,False,False,False,True,False,False,10,10,10
2010-02-05 12:00:00,J1,1,False,True,False,True,False,False,10,1,5.5
2010-02-06 00:00:00,J1,0,False,True,False,False,False,False,4,0,2
2010-02-12 00:00:00,J1,1,False,False,False,True,False,False,10,9,9.5
2010-02-12 12:00:00,J1,0,False,False,False,True,False,False,3,1,2
2010-02-13 00:00:00,J1,1,False,True,False,True,False,False,10,3,6.5
2010-02-13 12:00:00,J1,1,False,False,False,False,False,False,8,5,6.5
2010-02-14 00:00:00,J1,0,False,False,False,True,False,False,3,3,3
2010-02-15 00:00:00,J1,1,False,False,False,False,False,False,6,4,5
2010-02-15 12:00:00,J1,2,False,True,False,True,False,False,10,8,9
2010-02-16 00:00:00,J1,0,False,True,False,True,False,False,4,0,2
2010-02-16 12:00:00,J1,2,False,False,False,True,False,False,10,10,10
2010-02-17 00:00:00,J1,0,False,True,False,False,False,False,3,0,1.5
2010-02-18 00:00:00,J1,1,False,False,False,False,False,False,7,5,6
2010-02-18 12:00:00,J1,2,False,False,False,True,False,True,10,10,10
2010-02-19 00:00:00,J1,0,False,True,False,False,False,False,2,0,1
2010-02-20 00:00:00,J1,1,False,True,False,False,False,False,10,1,5.5
2010-02-22 00:00:00,J1,3,False,True,False,False,False,False,10,10,10
2010-02-23 00:00:00,J1,1,True,False,False,True,False,False,2,10,6
2010-02-28 00:00:00,J1,0,False,True,False,True,False,False,4,0,2
2010-03-01 00:00:00,J1,1,False,False,False,True,False,False,8,7,7.5
2010-03-01 12:00:00,J1,1,False,False,False,False,False,False,9,6,7.5
2010-03-02 00:00:00,J1,0,False,False,False,True,False,False,2,3,2.5
2010-03-04 00:00:00,J1,1,False,False,False,False,False,False,8,5,6.5
2010-03-05 00:00:00,J1,0,False,False,False,False,False,False,1,1,1
2010-03-06 00:00:00,J1,1,False,True,False,False,True,False,4,8,6
2010-03-06 12:00:00,J1,0,False,True,False,True,False,False,3,0,1.5
2010-03-08 00:00:00,J1,0,False,False,False,False,False,False,1,1,1
2010-03-11 00:00:00,J1,3,False,False,False,False,False,False,10,10,10
2010-03-14 00:00:00,J1,0,False,False,False,False,False,False,1,0,0.5
2010-03-15 00:00:00,J1,1,False,False,False,True,False,False,9,9,9
2010-03-20 00:00:00,J1,0,False,False,False,True,False,False,3,4,3.5
2010-03-20 12:00:00,J1,1,False,True,False,True,False,False,10,4,7
2010-03-23 00:00:00,J1,2,False,False,False,True,False,False,10,10,10
2010-03-26 00:00:00,J1,1,False,False,False,True,False,False,10,8,9
2010-03-29 00:00:00,J1,0,False,False,False,False,False,False,0,1,0.5
2010-04-01 00:00:00,J1,0,False,False,False,True,False,False,5,3,4
2010-04-05 00:00:00,J1,2,False,False,False,True,False,False,10,10,10
2010-04-05 12:00:00,J1,0,False,False,False,True,False,False,4,3,3.5
2010-04-07 00:00:00,J1,0,False,True,False,False,False,False,2,0,1
2010-04-08 00:00:00,J1,1,False,True,False,True,False,False,10,3,6.5
2010-04-09 00:00:00,J1,1,False,False,False,True,False,False,9,9,9
2010-04-10 00:00:00,J1,4,False,False,False,True,False,False,10,10,10
2010-04-12 00:00:00,J1,1,False,True,False,True,False,False,10,3,6.5
2010-04-13 00:00:00,J1,0,False,True,False,True,False,False,5,0,2.5
2010-04-15 00:00:00,J1,0,True,False,False,True,True,False,0,10,5
2010-04-17 00:00:00,J1,2,False,False,False,True,False,False,10,10,10
2010-04-18 00:00:00,J1,1,False,False,False,True,False,False,10,8,9
